step,target_x,target_y,target_z,ee_x,ee_y,ee_z,bluebox_x,bluebox_y,bluebox_z,reached
0,0.55,0.0,0.05,0.5481397632048501,-3.66042367655303e-05,0.046641242666863855,0.7651659858818872,0.000963170441285186,0.03989224457978374,True
1,0.5522785,0.0,0.05,0.5503929954231813,-5.075042847453891e-05,0.04662459977290133,0.765245494477387,0.0009690807810517469,0.03989225817800363,True
2,0.55455697,0.0,0.05,0.5525023763269448,-0.0001455426782459911,0.046402740332891684,0.7664903357067642,0.0008630047914555482,0.03989350070820001,True
3,0.5568355,0.0,0.05,0.5548151621454337,-0.0001312575775210795,0.04643634170687613,0.767974441380318,0.0007526072736360499,0.03989302039083153,True
4,0.5591139,0.0,0.05,0.5570842659067684,-0.00014614091468294148,0.046407810402516875,0.7693768366927857,0.0006276333127043991,0.03989311879909614,True
5,0.5613924,0.0,0.05,0.5593617933796479,-0.0001562529941222603,0.04639146344439371,0.7707645422265796,0.0005005553692889549,0.03989310053625106,True
6,0.5636709,0.0,0.05,0.5616417217936338,-0.00016534678666562806,0.046378279562189526,0.7721300583705255,0.0003718054454468301,0.03989304369689335,True
7,0.5659494,0.0,0.05,0.5639221516154738,-0.00017405192600333027,0.04636556690295114,0.7734706861541311,0.00024154090764398156,0.039892979529203815,True
8,0.5682279,0.0,0.05,0.5661973070374045,-0.0001866847129814379,0.04634665047160706,0.7747892927447767,0.00010109434764423664,0.039892937960848376,True
9,0.57050633,0.0,0.05,0.5684773684808702,-0.00019581267712579534,0.046333569159757185,0.7760965498582811,-3.7837215268024825e-05,0.03989287962499159,True
10,0.57278484,0.0,0.05,0.5707610316543038,-0.00020269058146929716,0.046325220673640866,0.7773670328201453,-0.00018060229117298316,0.03989277040021869,True
11,0.5750633,0.0,0.05,0.5731937256925485,-0.00010835493853904768,0.046526540067343886,0.7783055352503673,-0.0003215175438774327,0.039890371898967665,True
12,0.5773418,0.0,0.05,0.5754529167266427,-3.8259271718165045e-05,0.04645222315630414,0.7787822633174067,-0.00044287974880744094,0.039892244579783694,True
13,0.57962024,0.0,0.05,0.5777284754650855,-3.8840507094065334e-05,0.04643412580073779,0.7788349114588816,-0.00043845192648317546,0.03989224457978379,True
14,0.58189875,0.0,0.05,0.5800045135415214,-3.9025942157464675e-05,0.046415742406513666,0.7788349114588816,-0.00043845192648314576,0.03989224457978379,True
15,0.58417726,0.0,0.05,0.5822805900540995,-3.9212208428785844e-05,0.04639734303308078,0.7788349114588816,-0.00043845192648309615,0.03989224457978379,True
16,0.5864557,0.0,0.05,0.5845396108162624,-3.967842474792156e-05,0.046310303418602955,0.7788349114588816,-0.0004384519264830467,0.03989224457978379,True
17,0.5887342,0.0,0.05,0.5868151107330501,-3.993355238559321e-05,0.046291538101056615,0.7788349114588816,-0.0004384519264829992,0.03989224457978379,True
18,0.59101266,0.0,0.05,0.5890902614365849,-4.018804614904471e-05,0.04627227969198712,0.7788349114588816,-0.00043845192648294957,0.03989224457978379,True
19,0.59329116,0.0,0.05,0.5913654995761669,-4.044122063813526e-05,0.046252964479865724,0.7788349114588816,-0.0004384519264829007,0.03989224457978379,True
20,0.5955696,0.0,0.05,0.5936407004000723,-4.0693073388015864e-05,0.04623362593530167,0.7788349114588816,-0.0004384519264828495,0.03989224457978379,True
21,0.5978481,0.0,0.05,0.5959159892147732,-4.094364253306486e-05,0.04621426575236172,0.7788349114588816,-0.0004384519264827991,0.03989224457978379,True
22,0.6001266,0.0,0.05,0.5981913471524324,-4.119284763944394e-05,0.046194963370309636,0.7788349114588816,-0.00043845192648274807,0.03989224457978379,True
23,0.6024051,0.0,0.05,0.6004666681434189,-4.144081752805264e-05,0.04617558077273791,0.7788349114588816,-0.00043845192648269874,0.03989224457978379,True
24,0.6046836,0.0,0.05,0.6027420595203391,-4.168743107776495e-05,0.046156147939363276,0.7788349114588816,-0.00043845192648264784,0.03989224457978379,True
25,0.606962,0.0,0.05,0.605011026221939,-0.00019288560217272543,0.04617777525568599,0.7792986108606876,-0.00041347826908036856,0.03988971492821023,True
26,0.60924053,0.0,0.05,0.607341891649056,-0.00014741666225366487,0.046244068748893474,0.7800538004050027,-0.0005345604642454723,0.03988873474695376,True
27,0.611519,0.0,0.05,0.6096041616658875,-0.00011485687235666736,0.04618964440822891,0.7807066402781075,-0.0006740224357290692,0.0398897422932438,True
28,0.6137975,0.0,0.05,0.6118759358549564,-0.00011166036580423952,0.04616155894854927,0.7813483169476584,-0.0008168750379373261,0.03988996907314922,True
29,0.616076,0.0,0.05,0.6141518494831603,-0.00011689168277170548,0.046143956365179525,0.7819959147591454,-0.0009585388955201026,0.03988991240068866,True
30,0.61835444,0.0,0.05,0.6164350940784646,-0.0001245441182409424,0.04613712358497371,0.7826676635529279,-0.001131075633503147,0.0398899216621928,True
31,0.62063295,0.0,0.05,0.61870737969009,-0.00013389707768972153,0.04611717089656878,0.783336675300239,-0.0012574967213967588,0.039889603637079114,True
32,0.6229114,0.0,0.05,0.6209954639205517,-0.00013364306579045026,0.04612060858541475,0.7840056935856463,-0.0013844412319233257,0.039889240781218874,True
33,0.6251899,0.0,0.05,0.623257637179719,-0.00011311432885305827,0.04606881135402849,0.7846264853126587,-0.0015254027082226708,0.039890038918575836,True
34,0.62746835,0.0,0.05,0.6255301860719982,-0.00010914002982105988,0.04604198225928369,0.7852414756180947,-0.0016640323582654832,0.0398902250386469,True
35,0.62974685,0.0,0.05,0.6278134821363519,-0.00017368463715946485,0.04605117906025566,0.7858221948757104,-0.0017095846335440962,0.03988926901845804,True
36,0.63202536,0.0,0.05,0.6300914725084321,-0.00013721452025822623,0.0460288423969913,0.7864795501235765,-0.0018294291324820757,0.039889568213876916,True
37,0.6343038,0.0,0.05,0.6323643221745354,-0.00013509838721190593,0.046002627760580034,0.7871417932193034,-0.001962815504096198,0.03988973103581076,True
38,0.6365823,0.0,0.05,0.63464089457699,-0.00014173905186508947,0.04598569449470867,0.7878108952733581,-0.002093674786370773,0.039889658910293696,True
39,0.63886076,0.0,0.05,0.6369185744234995,-0.00015184605353502588,0.04597185026349079,0.7884915250273626,-0.0022203324085147544,0.03988950746501738,True
40,0.64113927,0.0,0.05,0.639205799201073,-0.00016028467980585886,0.04597243679109435,0.7891932116889027,-0.002365403442995219,0.03988944555865305,True
41,0.6434177,0.0,0.05,0.641475276464548,-0.0001770424687613123,0.04594725704490807,0.789900233968207,-0.002481346245635569,0.03988913385193683,True
42,0.6456962,0.0,0.05,0.6437518524841112,-0.00018536943720423658,0.04593022301242673,0.7906272307332496,-0.0026065242317531555,0.03988905839070851,True
43,0.64797467,0.0,0.05,0.6460185919349112,-0.0002000741821411075,0.045898472574857435,0.7913670632493836,-0.0027267210454991193,0.03988886708226889,True
44,0.6502532,0.0,0.05,0.6483042345715303,-0.000204212821828972,0.04589465329285726,0.7921131582483002,-0.0028354367035655936,0.03988893324413279,True
45,0.6525317,0.0,0.05,0.6505748447911527,-0.00015906099920443245,0.04590261643148377,0.7929959233459178,-0.003151378312041851,0.03989007655900275,True
46,0.65481013,0.0,0.05,0.652856220246974,-0.00022312290589282958,0.045856623915784434,0.7937570157517101,-0.0032632632749412314,0.03988891243993143,True
47,0.65708864,0.0,0.05,0.6551074477970744,-0.00018974977532814708,0.045781987440661656,0.7946489468350998,-0.0034926252617771118,0.03988974946133947,True
48,0.6593671,0.0,0.05,0.6574048344838731,-0.0002379044298786517,0.04581103571086703,0.795411268694568,-0.0035879980489132526,0.0398890008139609,True
49,0.6616456,0.0,0.05,0.6596834923013413,-0.0002052052427812187,0.045839788958484784,0.7963618603784971,-0.0038435661036659652,0.03988965974602902,True
50,0.6639241,0.0,0.05,0.6619637247877809,-0.0002594926784331036,0.04584045796864336,0.7971132233549276,-0.003925922533974155,0.0398891035999581,True
51,0.66620255,0.0,0.05,0.6642446751657516,-0.0002994728999123207,0.045782163965866055,0.7979345729606008,-0.004006653202477173,0.039888402966104554,True
52,0.66848105,0.0,0.05,0.6665012068837217,-0.000251892853589529,0.04571377535374148,0.7988945731985775,-0.004215002835924193,0.03988929892298244,True
53,0.6707595,0.0,0.05,0.668786652552355,-0.00030109575885916336,0.045719839715103336,0.79970347556497,-0.004283201550891584,0.03988875832973502,True
54,0.673038,0.0,0.05,0.6710530397570169,-0.00024312118305594172,0.04566806826345492,0.8006375896110212,-0.004441578258145218,0.03988962826920985,True
55,0.67531645,0.0,0.05,0.6733509379565066,-0.00025079844800872646,0.04569294468511205,0.8013937628759782,-0.004530646566683121,0.039888930254205375,True
56,0.67759496,0.0,0.05,0.6756056935335308,-0.0001808197028664825,0.04561593693980598,0.8022941060165999,-0.004730773399621516,0.03989021926319429,True
57,0.67987347,0.0,0.05,0.6778943256693052,-0.0002460572155552113,0.04563171490417087,0.8030560244542961,-0.004840818921896497,0.0398893497068981,True
58,0.6821519,0.0,0.05,0.6801695455329825,-0.00021368422125138354,0.04560101052020624,0.8040080719509565,-0.005066997353082919,0.039889969395295245,True
59,0.6844304,0.0,0.05,0.6824517471498472,-0.00028729488956274075,0.045606591270217434,0.8048039945950318,-0.005150263483801018,0.03988899095333854,True
60,0.68670887,0.0,0.05,0.6847193607317281,-0.0002494457729713541,0.04555898995714042,0.8058868290451663,-0.005427943676422756,0.039889872383356416,True
61,0.6889874,0.0,0.05,0.6870047074718645,-0.0003345975942685548,0.04557207781628804,0.8067148855911386,-0.005489296789583675,0.03988876982495402,True
62,0.6912658,0.0,0.05,0.6892745407669614,-0.00029219228902243634,0.04553084370938744,0.8077377078322128,-0.005640463899737206,0.03988931837878404,True
63,0.6935443,0.0,0.05,0.6915460893653756,-0.0002765520795576519,0.045496798772329095,0.8087552615919893,-0.0057950551394392,0.039889639788060274,True
64,0.69582283,0.0,0.05,0.6938498291142514,-0.00028056442236026446,0.045531709127237086,0.8097315724714833,-0.006025601990305245,0.039888952004042265,True
65,0.6981013,0.0,0.05,0.6961050591867465,-0.00017161664949417663,0.045448907424072635,0.8107812228962266,-0.006286702244874254,0.039890642065521315,True
66,0.7003797,0.0,0.05,0.6983764325860259,-0.00023517822290549436,0.045432748669124695,0.8115514874140957,-0.006409941186798625,0.03988948677858914,True
67,0.70265824,0.0,0.05,0.700655591059063,-0.000203929067248137,0.04540903452865487,0.8124958796392715,-0.0065905140590584756,0.039890212598000456,False
68,0.70493674,0.0,0.05,0.7029531717588839,-0.0002740871827818375,0.04544264924720158,0.8132920241307489,-0.006694984899614889,0.039889168905321105,True
69,0.7072152,0.0,0.05,0.7052201411840636,-0.0002678105752805934,0.04540110548248019,0.8142810904969998,-0.0068545009867069856,0.039889402037317744,False
70,0.7094937,0.0,0.05,0.7074462831670132,-8.133053452633824e-05,0.04524608785337203,0.815180083881382,-0.007093723828337989,0.03989224457978372,False
71,0.71177214,0.0,0.05,0.7097330082192765,-8.28249714737335e-05,0.04524517810879754,0.815180083881382,-0.007093723828337989,0.03989224457978372,False
72,0.71405065,0.0,0.05,0.7120006248852645,-8.370029628538504e-05,0.04520644443826942,0.815180083881382,-0.007093723828337989,0.03989224457978372,False
73,0.7163291,0.0,0.05,0.71427752216798,-8.404673252122678e-05,0.04518599666642138,0.815180083881382,-0.007093723828337989,0.03989224457978372,False
74,0.7186076,0.0,0.05,0.7165546490858163,-8.438297301182219e-05,0.04516584619251464,0.815180083881382,-0.007093723828337989,0.03989224457978372,False
75,0.7208861,0.0,0.05,0.7188318084145459,-8.471607584078014e-05,0.04514562645319692,0.815180083881382,-0.007093723828337989,0.03989224457978372,False
76,0.72316456,0.0,0.05,0.7211089414117863,-8.504705589485167e-05,0.04512539801495519,0.815180083881382,-0.007093723828337989,0.03989224457978372,False
77,0.72544307,0.0,0.05,0.7233927904428565,-8.842411029590883e-05,0.045118650398994764,0.815180083881382,-0.007093723828337989,0.03989224457978372,False
78,0.7277216,0.0,0.05,0.7256542504361945,-8.988202098331784e-05,0.04506602094678934,0.815180083881382,-0.007093723828337989,0.03989224457978372,False
79,0.73,0.0,0.05,0.7279395309641562,-0.00012160989351361114,0.04506785664979002,0.8151932877579118,-0.007081593562891889,0.03989200462662604,False
